source_id,original_path,original_filename,discovered_at,file_type,size,sha256,modified_at,category,product,relevance,ownership,license,copied,destination,duplicate_of,status,notes
SRC_0001,/Users/chris/Desktop/mastil proyecto/dosier_sentinel_v3/00_resumen_ejecutivo.md,00_resumen_ejecutivo.md,2026-08-16T03:02:36.118990+00:00,md,2560,89ec06ef627fc1b838e284ee587c885e7ac721be516045af63791c5df6dd34f7,2026-05-16T01:14:27.749096+00:00,sentinel/engineering,SENTINEL_003,CRITICAL,UP_EYE_DAWN,REVIEW_REQUIRED,true,references/source-material/sentinel/engineering/00_resumen_ejecutivo.md,,REVIEW_REQUIRED,Conservative allowlist ingestion; original retained in place.
SRC_0002,/Users/chris/Desktop/mastil proyecto/dosier_sentinel_v3/01_especificaciones_tecnicas.md,01_especificaciones_tecnicas.md,2026-08-16T03:02:36.118990+00:00,md,7431,00005ff24a25f68ef33cca066535962bfc7328bd40f297dfbb54aa1ca36b022a,2026-05-16T01:14:27.749383+00:00,sentinel/engineering,SENTINEL_003,CRITICAL,UP_EYE_DAWN,REVIEW_REQUIRED,true,references/source-material/sentinel/engineering/01_especificaciones_tecnicas.md,,REVIEW_REQUIRED,Conservative allowlist ingestion; original retained in place.
SRC_0003,/Users/chris/Desktop/mastil proyecto/dosier_sentinel_v3/02_arquitectura_sistema.md,02_arquitectura_sistema.md,2026-08-16T03:02:36.118990+00:00,md,3756,5fbe93583007864d12287ce75e95d9c2f134b6d936def707c7135e61330c6b93,2026-05-16T01:14:27.749624+00:00,sentinel/engineering,SENTINEL_003,CRITICAL,UP_EYE_DAWN,REVIEW_REQUIRED,true,references/source-material/sentinel/engineering/02_arquitectura_sistema.md,,REVIEW_REQUIRED,Conservative allowlist ingestion; original retained in place.
SRC_0004,/Users/chris/Desktop/mastil proyecto/dosier_sentinel_v3/03_energia_autonomia.md,03_energia_autonomia.md,2026-08-16T03:02:36.118990+00:00,md,3135,1576593176330d57e9ac54c290a6a48d47a3556a80a849520c676e71b537c42e,2026-05-16T01:14:27.749834+00:00,sentinel/engineering,SENTINEL_003,CRITICAL,UP_EYE_DAWN,REVIEW_REQUIRED,true,references/source-material/sentinel/engineering/03_energia_autonomia.md,,REVIEW_REQUIRED,Conservative allowlist ingestion; original retained in place.
SRC_0005,/Users/chris/Desktop/mastil proyecto/dosier_sentinel_v3/04_bom_costes.csv,04_bom_costes.csv,2026-08-16T03:02:36.118990+00:00,csv,3130,405e02e0973c8bc488a73b3de83095773849b40245e5e883e2092e2eb7dec3c4,2026-05-16T01:14:27.750119+00:00,sentinel/engineering,SENTINEL_003,CRITICAL,UP_EYE_DAWN,REVIEW_REQUIRED,true,references/source-material/sentinel/engineering/04_bom_costes.csv,,REVIEW_REQUIRED,Conservative allowlist ingestion; original retained in place.
SRC_0006,/Users/chris/Desktop/mastil proyecto/dosier_sentinel_v3/05_plan_mvp_fases.md,05_plan_mvp_fases.md,2026-08-16T03:02:36.118990+00:00,md,2646,be09d0229abbdf669c8967e18179c6d65e0a7abcfbfe4ad06ad9a0b54534f902,2026-05-16T01:14:27.750345+00:00,sentinel/engineering,SENTINEL_003,CRITICAL,UP_EYE_DAWN,REVIEW_REQUIRED,true,references/source-material/sentinel/engineering/05_plan_mvp_fases.md,,REVIEW_REQUIRED,Conservative allowlist ingestion; original retained in place.
SRC_0007,/Users/chris/Desktop/mastil proyecto/dosier_sentinel_v3/06_riesgos_normativa.md,06_riesgos_normativa.md,2026-08-16T03:02:36.118990+00:00,md,3378,f0fea2a636db4a09140005dd1c55c72ced6b52ad1209637686d20008d79fb440,2026-05-16T01:14:27.750544+00:00,sentinel/engineering,SENTINEL_003,CRITICAL,UP_EYE_DAWN,REVIEW_REQUIRED,true,references/source-material/sentinel/engineering/06_riesgos_normativa.md,,REVIEW_REQUIRED,Conservative allowlist ingestion; original retained in place.
SRC_0008,/Users/chris/Desktop/mastil proyecto/dosier_sentinel_v3/07_requisitos_pendientes.md,07_requisitos_pendientes.md,2026-08-16T03:02:36.118990+00:00,md,2026,6b3c84f6f6c81b6d3c429d0bf0911b88a16236772553de7fb278dde8d61855e1,2026-05-16T01:14:27.750746+00:00,sentinel/engineering,SENTINEL_003,CRITICAL,UP_EYE_DAWN,REVIEW_REQUIRED,true,references/source-material/sentinel/engineering/07_requisitos_pendientes.md,,REVIEW_REQUIRED,Conservative allowlist ingestion; original retained in place.
SRC_0009,/Users/chris/Desktop/mastil proyecto/dosier_sentinel_v3/DOSIER_MAESTRO.md,DOSIER_MAESTRO.md,2026-08-16T03:02:36.118990+00:00,md,1652,4a8461f1083fe5bc90608d6c68dfc8fd29c17f6e4f712c637ed518423af36ad3,2026-05-16T01:14:52.938537+00:00,sentinel/engineering,SENTINEL_003,CRITICAL,UP_EYE_DAWN,REVIEW_REQUIRED,true,references/source-material/sentinel/engineering/DOSIER_MAESTRO.md,,REVIEW_REQUIRED,Conservative allowlist ingestion; original retained in place.
SRC_0010,/Users/chris/Desktop/mastil proyecto/dosier_sentinel_v3/README.md,README.md,2026-08-16T03:02:36.118990+00:00,md,1408,d00c4463ea5446eff66da6d8ea8eb1198911e7e21a19d45e86490c1cf80f803b,2026-05-16T01:14:27.748578+00:00,sentinel/engineering,SENTINEL_003,CRITICAL,UP_EYE_DAWN,REVIEW_REQUIRED,true,references/source-material/sentinel/engineering/README.md,,REVIEW_REQUIRED,Conservative allowlist ingestion; original retained in place.
